area_wk;tarefa_WK;descritivo;analista;data_aloc;inicio_wk;fim_wk;comp_est;comp_real;tempo_est_h;prazo_est;prazo_real;crit_aloc;resum_exec;data_envio;data_aval;retorno;status;xp_creditada;score_ahp_escolhido;aprendizado_norm_escolhido;especializacao_norm_escolhido;workload_norm_escolhido;contrib_aprendizagem_escolhido;contrib_especializacao_escolhido;contrib_workload_escolhido
Contratos;Contratos de Seguros ou Previdência;;Abraão;2026-01-05 09:05:00;2026-01-12 11:01:00.000000000;2026-01-13 11:01:00.000000000;3,0;;8,0;2026-01-13 11:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,8438181935646629;1,0;1,0;0,0;0,6586441863669917;0,1851740071976712;0,0
Direito financeiro;Revisão de documentos de disclosure;;Caim;2026-01-05 09:06:00;2026-01-06 09:00:59.999999999;2026-01-07 09:00:59.999999999;3,0;;8,0;2026-01-07 09:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9805247417478264;1,0;1,0;0,8753039249790163;0,6586441863669917;0,1851740071976712;0,13670654818316355
Societário;Gestão de Advisors e Governança da Operação;;Jacó;2026-01-05 09:07:00;2026-01-08 11:00:00.000000000;2026-01-09 11:00:00.000000000;3,0;;8,0;2026-01-09 11:00:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9219904697272265;1,0;1,0;0,5005210142381644;0,6586441863669917;0,1851740071976712;0,0781722761625636
Governança;Acompanhamento de planos de mitigação;;Adão;2026-01-05 09:08:00;2026-01-05 13:02:00.000000000;2026-01-05 15:02:00.000000000;1,0;;2,0;2026-01-05 15:02:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9934901643722304;1,0;1,0;0,9583188607152849;0,6586441863669917;0,1851740071976712;0,14967197080756742
Societário;Atualização de Contrato Social / Estatuto;;Jacó;2026-01-05 09:09:00;2026-01-09 11:00:00.000000000;2026-01-12 11:00:00.000000000;3,0;;8,0;2026-01-12 11:00:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,8959511272161478;1,0;1,0;0,3337964570993041;0,6586441863669917;0,1851740071976712;0,052132933651484824
Direito digital;Comunicação de incidentes às autoridades competentes;;Isaque;2026-01-05 09:10:00;2026-01-08 09:06:59.999999999;2026-01-08 11:06:59.999999999;1,0;;2,0;2026-01-08 11:06:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9281205649433764;1,0;1,0;0,5397707537312711;0,6586441863669917;0,1851740071976712;0,08430237137871341
Direito financeiro;Apoio a programas de prevenção à lavagem de dinheiro (PLD/FT);;Caim;2026-01-05 09:11:00;2026-01-07 09:00:59.999999999;2026-01-07 11:00:59.999999999;1,0;;2,0;2026-01-07 11:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9544853992367477;1,0;1,0;0,7085793678401562;0,6586441863669917;0,1851740071976712;0,11066720567208481
Contratos;Contrato de Representação Comercial;;Abraão;2026-01-05 09:12:00;2026-01-13 11:01:00.000000000;2026-01-14 11:01:00.000000000;3,0;;8,0;2026-01-14 11:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,8438181935646629;1,0;1,0;0,0;0,6586441863669917;0,1851740071976712;0,0
Concorrencial;Contencioso Administrativo Concorrencial;;Esaú;2026-01-05 09:13:00;2026-01-05 11:02:00.000000000;2026-01-07 11:02:00.000000000;4,0;;16,0;2026-01-07 11:02:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Direito digital;Análise de cláusulas de tratamento, compartilhamento e transferência de dados;;Isaque;2026-01-05 09:14:00;2026-01-08 11:06:59.999999999;2026-01-08 15:06:59.999999999;2,0;;4,0;2026-01-08 15:06:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9328655505842137;1,0;1,0;0,5701519213533909;0,6586441863669917;0,1851740071976712;0,08904735701955084
